Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
11 Jan 2024,"111,70","227,00","237,90","65,30","17,40","50,10","29,40","10,60","1,00","-95,10","0,00","655,30"
12 Jan 2024,"386,00","195,30","17,40","39,80","28,40","0,00","20,20","0,00","0,00","-484,10","0,00","203,00"
15 Jan 2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
16 Jan 2024,"212,70","102,00","50,20","122,30","31,90","0,00","15,30","7,30","0,00","-594,40","0,00","-52,70"
17 Jan 2024,"371,40","358,10","68,20","50,30","57,60","1,20","1,20","4,80","1,60","-460,60","0,00","453,80"
18 Jan 2024,"145,50","177,90","20,10","41,80","58,80","0,00","9,30","2,30","0,00","-582,30","0,00","-126,60"
19 Jan 2024,"201,50","222,30","56,70","62,60","63,40","0,00","10,40","14,20","2,90","-590,40","0,00","43,60"
22 Jan 2024,"260,60","158,70","41,60","65,00","5,60","4,70","9,70","6,80","0,40","-640,50","0,00","-87,40"
23 Jan 2024,"160,10","157,70","26,30","61,80","0,00","1,10","0,00","2,20","0,00","-515,30","0,00","-106,10"
24 Jan 2024,"66,20","125,70","19,10","24,90","19,90","1,20","9,10","4,50","0,40","-429,30","0,00","-158,30"
25 Jan 2024,"170,70","101,00","20,00","16,10","0,00","0,00","6,50","0,00","0,00","-394,10","0,00","-79,80"
26 Jan 2024,"87,10","100,10","30,90","46,40","0,00","1,20","1,80","2,40","0,00","-255,10","0,00","14,80"
29 Jan 2024,"198,40","208,20","20,00","17,20","3,00","0,00","0,00","0,00","0,00","-191,70","0,00","255,10"
30 Jan 2024,"299,20","119,20","21,90","16,80","6,30","2,50","0,00","0,00","2,10","-220,70","0,00","247,30"
31 Jan 2024,"116,20","232,00","17,80","14,80","1,50","0,00","0,60","2,40","0,00","-187,70","0,00","197,60"
01 Feb 2024,"163,90","35,80","4,20","15,90","0,00","0,00","0,00","0,00","0,70","-182,00","0,00","38,50"
02 Feb 2024,"105,80","78,90","11,50","22,60","0,00","2,50","0,00","2,40","0,90","-144,60","0,00","80,00"
05 Feb 2024,"137,30","38,00","0,00","0,00","0,00","0,00","0,00","0,00","0,70","-107,90","0,00","68,10"
06 Feb 2024,"45,20","37,70","11,30","8,60","0,00","0,00","0,00","2,40","1,10","-72,70","0,00","33,60"
07 Feb 2024,"56,20","130,10","21,40","3,30","8,60","5,10","1,20","0,00","0,90","-80,80","0,00","146,00"
08 Feb 2024,"204,10","128,30","60,50","86,40","13,40","0,00","1,90","10,30","1,70","-101,60","0,00","405,00"
09 Feb 2024,"250,70","188,40","29,10","136,50","-17,40","1,40","1,40","2,70","0,50","-51,80","0,00","541,50"
12 Feb 2024,"374,70","151,90","33,00","40,00","-20,80","0,00","1,10","8,50","0,00","-95,00","0,00","493,40"
13 Feb 2024,"493,10","163,60","10,80","40,00","0,00","0,00","0,00","0,00","1,60","-72,80","0,00","636,30"
14 Feb 2024,"224,30","118,90","47,20","101,50","-37,50","9,00","1,00","2,90","3,60","-131,20","0,00","339,70"
15 Feb 2024,"330,90","97,40","120,20","88,90","1,30","3,00","7,40","2,90","0,00","-174,60","0,00","477,40"
16 Feb 2024,"191,40","116,70","20,90","140,00","1,00","0,00","7,90","0,00","2,80","-150,40","0,00","330,30"
19 Feb 2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
20 Feb 2024,"154,30","71,70","11,10","27,40","0,00","0,00","0,00","5,90","2,20","-137,00","0,00","135,60"
21 Feb 2024,"96,50","52,50","0,00","10,70","1,00","3,00","0,00","0,00","0,00","-199,30","0,00","-35,60"
22 Feb 2024,"125,10","158,90","7,90","6,70","0,00","0,00","1,20","2,90","4,40","-55,70","0,00","251,40"
23 Feb 2024,"167,50","52,50","12,00","34,50","0,00","1,50","0,00","8,70","0,00","-44,20","0,00","232,50"
26 Feb 2024,"111,80","243,30","37,20","130,60","4,40","7,90","0,00","6,20","0,90","-22,40","0,00","519,90"
27 Feb 2024,"520,20","126,00","18,40","5,40","2,60","16,60","0,00","9,70","3,60","-125,60","0,00","576,90"
28 Feb 2024,"612,10","245,20","9,90","23,80","0,00","0,00","0,00","-3,40","2,20","-216,40","0,00","673,40"
29 Feb 2024,"603,90","44,80","21,70","9,90","-1,50","5,40","0,00","7,00","0,00","-598,90","0,00","92,30"
01 Mar 2024,"202,50","49,30","42,30","55,10","0,00","5,40","0,00","-1,80","0,00","-492,40","0,00","-139,60"
04 Mar 2024,"420,10","404,60","90,90","38,20","-25,70","7,80","3,70","-5,70","-3,20","-368,00","0,00","562,70"
05 Mar 2024,"788,30","125,60","3,70","63,70","-14,20","3,60","0,00","3,50","6,60","-332,50","0,00","648,30"
06 Mar 2024,"281,70","205,70","28,60","41,30","3,00","5,80","40,70","0,00","1,40","-276,20","0,00","332,00"
07 Mar 2024,"244,20","473,40","41,40","42,10","0,00","0,00","41,80","1,90","2,50","-374,80","0,00","472,50"
08 Mar 2024,"336,30","130,30","8,00","1,70","-7,60","8,00","41,40","7,80","0,00","-302,90","0,00","223,00"
11 Mar 2024,"562,90","215,50","49,80","13,00","-9,70","0,00","43,40","118,80","5,80","-494,10","0,00","505,40"
12 Mar 2024,"849,00","51,60","24,60","93,00","-19,70","0,00","39,60","82,90","3,00","-79,00","0,00","1,045,0"
13 Mar 2024,"586,50","281,50","5,60","44,60","0,00","19,10","4,10","16,50","2,30","-276,50","0,00","683,70"
14 Mar 2024,"345,40","13,70","0,00","3,50","0,00","4,00","9,40","13,80","0,00","-257,10","0,00","132,70"
15 Mar 2024,"139,80","155,60","20,50","0,00","0,00","2,00","1,20","15,80","3,30","-139,40","0,00","198,80"
18 Mar 2024,"451,50","5,90","17,60","2,70","0,00","0,00","4,80","5,70","0,00","-642,50","0,00","-154,30"
19 Mar 2024,"75,20","39,60","2,50","0,00","0,00","0,00","0,00","0,00","0,00","-443,50","0,00","-326,20"
20 Mar 2024,"49,30","12,90","18,60","23,30","-10,20","19,00","2,90","9,30","0,00","-386,60","0,00","-261,50"
21 Mar 2024,"233,40","2,90","12,00","2,00","4,20","3,80","4,70","1,80","0,00","-358,80","0,00","-94,00"
22 Mar 2024,"18,90","18,10","16,30","5,40","4,50","29,60","25,50","0,00","0,00","-169,90","0,00","-51,60"
25 Mar 2024,"35,50","261,80","14,00","0,00","18,50","20,50","11,20","4,00","0,00","-350,10","0,00","15,40"
26 Mar 2024,"162,20","279,10","16,70","73,60","26,70","26,30","29,90","15,80","0,00","-212,30","0,00","418,00"
27 Mar 2024,"323,80","1,50","0,00","200,70","4,80","4,00","5,10","1,90","1,50","-299,80","0,00","243,50"
28 Mar 2024,"95,10","68,10","67,00","27,60","3,90","0,00","6,00","20,00","0,00","-104,90","0,00","182,80"
29 Mar 2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
01 Apr 2024,"165,90","44,00","1,10","-0,30","4,20","0,00","0,00","2,00","0,00","-302,60","0,00","-85,70"
02 Apr 2024,"150,50","44,80","4,30","-87,50","0,00","0,00","3,70","5,60","0,00","-81,90","0,00","39,50"
03 Apr 2024,"42,00","116,70","23,00","0,00","0,00","3,80","0,00","0,00","3,10","-75,10","0,00","113,50"
04 Apr 2024,"144,00","106,60","11,20","12,00","0,00","0,00","3,40","15,50","0,00","-79,30","0,00","213,40"
05 Apr 2024,"308,80","83,00","7,40","0,00","2,70","0,00","0,00","0,00","0,00","-198,90","0,00","203,00"
08 Apr 2024,"21,30","6,30","40,30","9,30","0,00","0,00","0,00","0,00","2,30","-303,30","0,00","-223,80"
09 Apr 2024,"128,70","3,00","3,80","0,00","0,00","0,00","0,00","0,00","0,00","-154,90","0,00","-19,40"
10 Apr 2024,"33,30","76,30","24,30","7,30","0,00","0,00","0,00","0,00","0,00","-17,50","0,00","123,70"
11 Apr 2024,"192,10","4,60","11,10","0,00","0,00","0,00","8,40","0,00","0,00","-124,90","0,00","91,30"
12 Apr 2024,"111,10","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-166,20","0,00","-55,10"
15 Apr 2024,"73,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","-110,10","0,00","-36,70"
16 Apr 2024,"25,80","1,40","0,00","-12,90","0,00","1,80","1,70","3,60","0,00","-79,40","0,00","-58,00"
17 Apr 2024,"18,10","0,00","-7,30","-42,70","0,00","0,00","0,00","0,00","0,00","-133,10","0,00","-165,00"
18 Apr 2024,"18,80","37,40","12,80","9,50","0,00","0,00","0,00","7,20","0,00","-90,00","0,00","-4,30"
19 Apr 2024,"29,30","54,80","4,90","12,50","3,90","1,90","0,00","-1,80","0,00","-45,80","0,00","59,70"
22 Apr 2024,"19,70","34,80","2,20","22,60","2,70","7,70","0,00","7,50","0,00","-35,00","0,00","62,20"
23 Apr 2024,"37,90","4,40","23,20","33,30","-0,30","1,90","0,00","-1,90","0,00","-66,90","0,00","31,60"
24 Apr 2024,"0,00","5,60","0,00","4,20","0,00","0,00","0,00","0,00","0,00","-130,40","0,00","-120,60"
25 Apr 2024,"0,00","-22,60","-6,00","-31,30","0,00","1,90","-20,20","0,00","0,00","-139,40","0,00","-217,60"
26 Apr 2024,"0,00","-2,80","-3,80","5,40","0,00","0,00","0,00","0,00","0,00","-82,40","0,00","-83,60"
29 Apr 2024,"0,00","-6,90","6,80","-31,30","0,00","1,80","2,70","0,00","0,00","-24,70","0,00","-51,60"
30 Apr 2024,"0,00","-35,30","-34,30","3,60","-2,40","0,00","0,00","0,00","0,00","-93,20","0,00","-161,60"
01 May 2024,"-36,90","-191,10","-29,00","-98,10","-5,40","-13,40","-9,70","-6,50","-6,20","-167,40","0,00","-563,70"
02 May 2024,"0,00","0,00","0,00","13,30","1,50","3,40","2,30","0,00","0,00","-54,90","0,00","-34,40"
03 May 2024,"12,70","102,60","33,50","28,10","33,20","60,90","35,60","8,70","0,00","63,00","0,00","378,30"
06 May 2024,"21,50","99,20","2,10","75,60","11,10","1,80","0,00","1,80","0,00","3,90","0,00","217,00"
07 May 2024,"0,00","4,10","0,00","2,80","6,00","0,00","0,00","0,00","0,00","-28,60","0,00","-15,70"
08 May 2024,"0,00","0,00","11,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","11,50"
09 May 2024,"14,20","2,70","6,80","4,40","2,20","1,80","0,00","0,00","0,00","-43,40","0,00","-11,30"
10 May 2024,"12,40","5,30","0,00","0,00","0,00","0,00","0,00","0,00","0,60","-103,00","0,00","-84,70"
13 May 2024,"0,00","38,60","20,30","0,00","0,00","0,00","0,00","7,10","0,00","0,00","0,00","66,00"
14 May 2024,"0,00","8,10","0,00","133,10","5,50","1,80","1,20","1,70","0,00","-50,90","0,00","100,50"
15 May 2024,"0,00","131,30","86,30","38,60","4,60","1,90","3,70","7,50","2,10","27,00","0,00","303,00"
16 May 2024,"93,70","67,10","1,40","62,00","6,20","3,80","18,50","0,00","0,00","4,60","0,00","257,30"
17 May 2024,"38,10","99,40","20,80","10,00","5,70","0,00","6,40","9,50","0,00","31,60","0,00","221,50"
20 May 2024,"66,40","64,00","24,00","68,30","0,00","0,00","0,00","0,00","5,20","9,30","0,00","237,20"
21 May 2024,"290,00","25,80","-4,20","0,00","0,00","0,00","0,00","-5,90","0,00","0,00","0,00","305,70"
22 May 2024,"92,00","74,60","0,00","3,50","0,00","0,00","0,00","0,00","0,00","-16,10","0,00","154,00"
23 May 2024,"89,00","19,10","0,00","2,00","2,00","0,00","0,00","9,50","0,00","-13,70","0,00","107,90"
24 May 2024,"182,10","43,70","6,40","4,10","0,00","0,00","0,00","15,60","0,00","0,00","0,00","251,90"
27 May 2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
28 May 2024,"102,50","34,30","3,30","4,10","3,40","0,00","1,20","0,00","1,40","-105,20","0,00","45,00"
29 May 2024,"24,60","17,70","11,00","4,00","1,00","0,00","0,00","0,00","1,10","-31,10","0,00","28,30"
30 May 2024,"1,60","119,10","25,90","-99,90","2,10","0,00","0,00","0,00","0,00","0,00","0,00","48,80"
31 May 2024,"169,10","5,90","0,00","0,00","0,00","0,00","0,00","-1,90","0,00","-124,30","0,00","48,80"
03 Jun 2024,"0,00","77,00","14,30","10,70","0,00","0,00","0,00","2,00","1,10","0,00","0,00","105,10"
04 Jun 2024,"274,40","378,70","61,00","138,70","0,00","0,00","1,60","4,00","0,00","28,20","0,00","886,60"
05 Jun 2024,"155,40","220,60","18,50","71,40","3,60","0,00","0,00","4,00","0,00","14,60","0,00","488,10"
06 Jun 2024,"349,90","3,10","-3,10","-96,60","0,00","0,00","0,00","2,00","0,00","-37,60","0,00","217,70"
07 Jun 2024,"168,30","0,00","-7,90","6,90","0,00","0,00","0,00","0,00","0,00","-36,30","0,00","131,00"
10 Jun 2024,"6,30","-3,00","7,60","0,00","-20,50","0,00","-15,80","0,00","0,00","-39,50","0,00","-64,90"
11 Jun 2024,"0,00","-7,40","-11,70","-56,50","0,00","0,00","0,00","-3,80","0,00","-121,00","0,00","-200,40"
12 Jun 2024,"15,60","50,60","14,50","8,50","0,00","0,00","0,00","11,60","0,00","0,00","0,00","100,80"
13 Jun 2024,"18,20","-106,40","-9,80","-52,70","-2,70","0,00","0,00","-11,30","0,00","-61,50","0,00","-226,20"
14 Jun 2024,"1,50","-80,10","-7,10","-49,00","-2,90","0,00","0,00","0,00","0,00","-52,30","0,00","-189,90"
