Catégorie : Toutes catégories

Mois,bitcoin: (Dans tous les pays)
2020-01,19
2020-02,20
2020-03,29
2020-04,23
2020-05,30
2020-06,22
2020-07,21
2020-08,23
2020-09,18
2020-10,20
2020-11,37
2020-12,47
2021-01,96
2021-02,100
2021-03,70
2021-04,75
2021-05,99
2021-06,70
2021-07,47
2021-08,46
2021-09,44
2021-10,55
2021-11,49
2021-12,49
2022-01,62
2022-02,51
2022-03,44
2022-04,34
2022-05,53
2022-06,60
2022-07,41
2022-08,32
2022-09,32
2022-10,25
2022-11,38
2022-12,26
2023-01,30
2023-02,29
2023-03,34
2023-04,32
2023-05,27
2023-06,27
2023-07,26
2023-08,25
2023-09,23
2023-10,28
2023-11,30
2023-12,36
2024-01,41
2024-02,38
2024-03,61
2024-04,44
2024-05,32
2024-06,28
2024-07,32
2024-08,35
2024-09,27
2024-10,27
2024-11,66
2024-12,61
2025-01,47
2025-02,40
2025-03,39
2025-04,34
2025-05,34
